kernel,blocks,threads,avg_ms,gbps
naive,65536,64,0.607,1326.59
naive,131072,64,0.600,1342.72
naive,262144,64,0.596,1351.91
naive,524288,64,0.597,1348.71
naive,65536,128,0.596,1351.77
naive,131072,128,0.591,1362.45
naive,262144,128,0.592,1361.17
naive,524288,128,0.595,1353.07
naive,65536,256,0.590,1364.24
naive,131072,256,0.590,1364.39
naive,262144,256,0.594,1355.40
naive,524288,256,0.782,1029.33
naive,65536,512,0.592,1359.20
naive,131072,512,0.596,1350.75
naive,262144,512,0.688,1170.25
naive,524288,512,0.882,913.54
strided,65536,64,0.608,1323.60
strided,131072,64,0.601,1339.79
strided,262144,64,0.597,1348.71
strided,524288,64,0.598,1347.09
strided,65536,128,0.595,1352.56
strided,131072,128,0.591,1362.92
strided,262144,128,0.592,1361.17
strided,524288,128,0.595,1353.07
strided,65536,256,0.590,1364.15
strided,131072,256,0.590,1364.43
strided,262144,256,0.594,1356.06
strided,524288,256,0.782,1029.17
strided,65536,512,0.592,1359.29
strided,131072,512,0.596,1350.65
strided,262144,512,0.688,1170.70
strided,524288,512,0.881,913.65
vectorized,65536,64,0.591,1362.26
vectorized,131072,64,0.593,1358.78
vectorized,262144,64,0.597,1348.43
vectorized,524288,64,0.783,1028.93
vectorized,65536,128,0.592,1359.57
vectorized,131072,128,0.597,1349.63
vectorized,262144,128,0.686,1173.85
vectorized,524288,128,0.881,914.56
vectorized,65536,256,0.597,1349.77
vectorized,131072,256,0.639,1260.83
vectorized,262144,256,0.736,1094.70
vectorized,524288,256,0.930,865.60
vectorized,65536,512,0.619,1300.75
vectorized,131072,512,0.673,1196.90
vectorized,262144,512,0.781,1031.66
vectorized,524288,512,0.997,807.44
tiled,65536,64,0.606,1329.02
tiled,131072,64,0.601,1340.20
tiled,262144,64,0.599,1344.70
tiled,524288,64,0.600,1342.08
tiled,65536,128,0.592,1360.19
tiled,131072,128,0.591,1363.25
tiled,262144,128,0.592,1359.48
tiled,524288,128,0.593,1358.92
tiled,65536,256,0.591,1362.26
tiled,131072,256,0.591,1362.35
tiled,262144,256,0.591,1363.11
tiled,524288,256,0.780,1032.98
tiled,65536,512,0.593,1358.40
tiled,131072,512,0.592,1359.57
tiled,262144,512,0.685,1176.03
tiled,524288,512,0.878,916.80
cublas_axpy,65536,64,0.592,1359.90
cublas_axpy,131072,64,0.592,1359.90
cublas_axpy,262144,64,0.592,1359.90
cublas_axpy,524288,64,0.592,1359.90
cublas_axpy,65536,128,0.592,1359.90
cublas_axpy,131072,128,0.592,1359.90
cublas_axpy,262144,128,0.592,1359.90
cublas_axpy,524288,128,0.592,1359.90
cublas_axpy,65536,256,0.592,1359.90
cublas_axpy,131072,256,0.592,1359.90
cublas_axpy,262144,256,0.592,1359.90
cublas_axpy,524288,256,0.592,1359.90
cublas_axpy,65536,512,0.592,1359.90
cublas_axpy,131072,512,0.592,1359.90
cublas_axpy,262144,512,0.592,1359.90
cublas_axpy,524288,512,0.592,1359.90
