impl,B,H,N,D,BR,BC,warps,block_dim,grid_x,grid_z,smem_bytes,time_ms,gflops
custom,8,8,512,64,32,32,4,128,16,64,20864,16.458,130.48
custom,8,8,512,64,32,32,8,256,16,64,20864,15.594,137.71
custom,8,8,512,64,32,32,16,512,16,64,20864,15.588,137.77
custom,8,8,512,64,32,32,32,1024,16,64,20864,15.572,137.91
custom,8,8,512,64,32,64,4,128,16,64,29056,15.551,138.09
custom,8,8,512,64,32,64,8,256,16,64,29056,15.533,138.26
custom,8,8,512,64,32,64,16,512,16,64,29056,15.519,138.37
custom,8,8,512,64,32,64,32,1024,16,64,29056,15.502,138.53
custom,8,8,512,64,64,32,4,128,8,64,33536,15.845,135.53
custom,8,8,512,64,64,32,8,256,8,64,33536,15.604,137.63
custom,8,8,512,64,64,32,16,512,8,64,33536,15.581,137.82
custom,8,8,512,64,64,32,32,1024,8,64,33536,15.570,137.93
custom,8,8,512,64,64,64,4,128,8,64,41728,15.567,137.95
custom,8,8,512,64,64,64,8,256,8,64,41728,15.518,138.39
custom,8,8,512,64,64,64,16,512,8,64,41728,15.516,138.40
custom,8,8,512,64,64,64,32,1024,8,64,41728,15.490,138.64
custom,8,8,1024,64,32,32,4,128,32,64,20864,59.168,145.18
custom,8,8,1024,64,32,32,8,256,32,64,20864,59.190,145.13
custom,8,8,1024,64,32,32,16,512,32,64,20864,59.175,145.16
custom,8,8,1024,64,32,32,32,1024,32,64,20864,59.254,144.97
custom,8,8,1024,64,32,64,4,128,32,64,29056,58.997,145.60
custom,8,8,1024,64,32,64,8,256,32,64,29056,58.979,145.64
custom,8,8,1024,64,32,64,16,512,32,64,29056,58.958,145.70
custom,8,8,1024,64,32,64,32,1024,32,64,29056,59.002,145.59
custom,8,8,1024,64,64,32,4,128,16,64,33536,62.194,138.12
custom,8,8,1024,64,64,32,8,256,16,64,33536,62.187,138.13
custom,8,8,1024,64,64,32,16,512,16,64,33536,62.115,138.29
custom,8,8,1024,64,64,32,32,1024,16,64,33536,62.116,138.29
custom,8,8,1024,64,64,64,4,128,16,64,41728,68.323,125.72
custom,8,8,1024,64,64,64,8,256,16,64,41728,61.898,138.78
custom,8,8,1024,64,64,64,16,512,16,64,41728,61.870,138.84
custom,8,8,1024,64,64,64,32,1024,16,64,41728,61.858,138.87
custom,16,8,512,64,32,32,4,128,16,128,20864,29.637,144.92
custom,16,8,512,64,32,32,8,256,16,128,20864,29.618,145.01
custom,16,8,512,64,32,32,16,512,16,128,20864,29.606,145.07
custom,16,8,512,64,32,32,32,1024,16,128,20864,29.654,144.83
custom,16,8,512,64,32,64,4,128,16,128,29056,29.535,145.42
custom,16,8,512,64,32,64,8,256,16,128,29056,29.501,145.59
custom,16,8,512,64,32,64,16,512,16,128,29056,29.488,145.65
custom,16,8,512,64,32,64,32,1024,16,128,29056,29.522,145.48
custom,16,8,512,64,64,32,4,128,8,128,33536,31.142,137.92
custom,16,8,512,64,64,32,8,256,8,128,33536,31.110,138.06
custom,16,8,512,64,64,32,16,512,8,128,33536,31.103,138.09
custom,16,8,512,64,64,32,32,1024,8,128,33536,31.071,138.23
custom,16,8,512,64,64,64,4,128,8,128,41728,37.224,115.38
custom,16,8,512,64,64,64,8,256,8,128,41728,30.962,138.72
custom,16,8,512,64,64,64,16,512,8,128,41728,30.944,138.80
custom,16,8,512,64,64,64,32,1024,8,128,41728,30.942,138.81
custom,16,8,1024,64,32,32,4,128,32,128,20864,118.377,145.13
custom,16,8,1024,64,32,32,8,256,32,128,20864,118.363,145.15
custom,16,8,1024,64,32,32,16,512,32,128,20864,118.313,145.21
custom,16,8,1024,64,32,32,32,1024,32,128,20864,118.536,144.93
custom,16,8,1024,64,32,64,4,128,32,128,29056,117.877,145.74
custom,16,8,1024,64,32,64,8,256,32,128,29056,117.945,145.66
custom,16,8,1024,64,32,64,16,512,32,128,29056,117.826,145.81
custom,16,8,1024,64,32,64,32,1024,32,128,29056,117.953,145.65
custom,16,8,1024,64,64,32,4,128,16,128,33536,118.210,145.33
custom,16,8,1024,64,64,32,8,256,16,128,33536,118.185,145.36
custom,16,8,1024,64,64,32,16,512,16,128,33536,118.100,145.47
custom,16,8,1024,64,64,32,32,1024,16,128,33536,118.150,145.41
custom,16,8,1024,64,64,64,4,128,16,128,41728,130.046,132.11
custom,16,8,1024,64,64,64,8,256,16,128,41728,117.786,145.86
custom,16,8,1024,64,64,64,16,512,16,128,41728,117.649,146.03
custom,16,8,1024,64,64,64,32,1024,16,128,41728,117.705,145.96
