impl,B,H,N,D,BR,BC,warps,block_dim,grid_x,grid_z,smem_bytes,time_ms,gflops
custom,8,8,512,64,32,32,4,128,16,64,33152,15.734,136.49
custom,8,8,512,64,32,32,8,256,16,64,33152,15.627,137.42
custom,8,8,512,64,32,32,16,512,16,64,33152,15.596,137.70
custom,8,8,512,64,32,64,4,128,16,64,49536,15.670,137.04
custom,8,8,512,64,32,64,8,256,16,64,49536,15.559,138.02
custom,8,8,512,64,32,64,16,512,16,64,49536,15.514,138.42
custom,8,8,512,64,32,128,4,128,16,64,82304,15.763,136.24
custom,8,8,512,64,32,128,8,256,16,64,82304,15.587,137.77
custom,8,8,512,64,32,128,16,512,16,64,82304,15.498,138.57
custom,8,8,512,64,64,32,4,128,8,64,49920,15.793,135.98
custom,8,8,512,64,64,32,8,256,8,64,49920,15.653,137.19
custom,8,8,512,64,64,32,16,512,8,64,49920,15.601,137.65
custom,8,8,512,64,64,64,4,128,8,64,66304,16.020,134.05
custom,8,8,512,64,64,64,8,256,8,64,66304,15.585,137.80
custom,8,8,512,64,64,64,16,512,8,64,66304,15.537,138.22
custom,8,8,512,64,64,128,4,128,8,64,99072,17.360,123.71
custom,8,8,512,64,64,128,8,256,8,64,99072,15.867,135.34
custom,8,8,512,64,64,128,16,512,8,64,99072,15.648,137.24
custom,8,8,512,64,128,32,4,128,4,64,83456,20.715,103.67
custom,8,8,512,64,128,32,8,256,4,64,83456,19.305,111.24
custom,8,8,512,64,128,32,16,512,4,64,83456,18.914,113.54
custom,8,8,512,64,128,64,4,128,4,64,99840,20.880,102.85
custom,8,8,512,64,128,64,8,256,4,64,99840,18.997,113.04
custom,8,8,512,64,128,64,16,512,4,64,99840,18.724,114.69
custom,8,8,512,64,128,128,4,128,4,64,132608,20.511,104.70
custom,8,8,512,64,128,128,8,256,4,64,132608,18.850,113.93
custom,8,8,512,64,128,128,16,512,4,64,132608,18.646,115.17
custom,8,8,1024,64,32,32,4,128,32,64,33152,59.564,144.21
custom,8,8,1024,64,32,32,8,256,32,64,33152,59.300,144.86
custom,8,8,1024,64,32,32,16,512,32,64,33152,59.170,145.17
custom,8,8,1024,64,32,64,4,128,32,64,49536,59.293,144.87
custom,8,8,1024,64,32,64,8,256,32,64,49536,59.050,145.47
custom,8,8,1024,64,32,64,16,512,32,64,49536,58.918,145.79
custom,8,8,1024,64,32,128,4,128,32,64,82304,59.709,143.86
custom,8,8,1024,64,32,128,8,256,32,64,82304,59.019,145.55
custom,8,8,1024,64,32,128,16,512,32,64,82304,58.903,145.83
custom,8,8,1024,64,64,32,4,128,16,64,49920,62.864,136.64
custom,8,8,1024,64,64,32,8,256,16,64,49920,62.327,137.82
custom,8,8,1024,64,64,32,16,512,16,64,49920,62.161,138.19
custom,8,8,1024,64,64,64,4,128,16,64,66304,62.987,136.38
custom,8,8,1024,64,64,64,8,256,16,64,66304,62.086,138.35
custom,8,8,1024,64,64,64,16,512,16,64,66304,61.934,138.69
